Municipio,UF,Post/Coment,Data,Usuario,Comentarios,Emojis,Texto,Unicodes,ComentarioTraduzido,Polaridade,Analise,Subjetividade
Ijui,RS,Comentario,2022-09-15 14:03:15,alee_mews,👏 👏,👏,,"['U0001f44f', 'U0001f44f']",,0.4,Positivo,0.0
Ijui,RS,Comentario,2022-09-13 15:36:41,ane_doces_e_salgados,❤ ️,❤,️,['u2764'],️,0.2,Positivo,0.0
Ijui,RS,Comentario,2022-09-12 16:42:54,bila.dutra16,❤ ️ 👏,❤👏,️,"['u2764', 'U0001f44f']",️,0.4,Positivo,0.0
Ijui,RS,Comentario,2022-09-12 12:08:53,dr.andrey_criminalista,👏,👏,,['U0001f44f'],,0.2,Positivo,0.0
Ijui,RS,Comentario,2022-09-12 12:13:00,anaceratti,👏 👏 👏 👏 . Parabéns,👏,. Parabéns,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",. Congratulations,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-09-09 19:53:11,marcoaureliosikacz,👏 👏 👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.0,Positivo,0.0
Ijui,RS,Comentario,2022-09-09 21:24:17,lorenicarneiro,Parabéns 👏 👏 👏,👏,Parabéns,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-09-09 22:19:09,nildafidencio,👏 👏 🙌 😍,👏🙌😍,,"['U0001f44f', 'U0001f44f', 'U0001f64c', 'U0001f60d']",,0.8,Positivo,0.0
Ijui,RS,Comentario,2022-09-10 00:26:27,rafaelcorrea.s8,Obras em todo lugar 👏 👏 👏 top .aí sim,👏,Obras em todo lugar top .aí sim,"['U0001f44f', 'U0001f44f', 'U0001f44f']",Works everywhere top.,1.1,Positivo,0.5
Ijui,RS,Comentario,2022-09-12 03:44:24,dr.andrey_criminalista,👏,👏,,['U0001f44f'],,0.2,Positivo,0.0
Ijui,RS,Comentario,2022-09-08 13:44:31,nanda_arend94,A enfermagem tbm participou se pra vcs não samos importante para Ijuí nós samos ….,,A enfermagem tbm participou se pra vcs não samos importante para Ijuí nós samos ….,[],Nursing also participated if for you we are not important to Ijuí we are….,-0.2,Negativo,1.0
Ijui,RS,Comentario,2022-09-08 14:47:20,prefeituradeijui,Parabéns! Bem organizados. 👍 🏻,👍🏻,Parabéns! Bem organizados.,"['U0001f44d', 'U0001f3fb']",Congratulations! Well organized.,0.2,Positivo,0.0
Ijui,RS,Comentario,2022-09-08 19:52:11,dr.andrey_criminalista,🙌 🙌 🔥 🔥 👏 👏,🙌🔥👏,,"['U0001f64c', 'U0001f64c', 'U0001f525', 'U0001f525', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-09-07 14:07:34,bila.dutra16,Estava lindo. 👏 👏 👏,👏,Estava lindo.,"['U0001f44f', 'U0001f44f', 'U0001f44f']",It was beautiful.,1.45,Positivo,1.0
Ijui,RS,Comentario,2022-09-07 15:36:08,douglasdiverio,Super top,,Super top,[],Super top,0.417,Positivo,0.583
Ijui,RS,Comentario,2022-09-07 17:13:41,jordadine,Parabéns a todos 👏 👏 estava lindo e super organizado 👏 👏 👏,👏,Parabéns a todos estava lindo e super organizado,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",Congratulations to all was beautiful and super organized,1.592,Positivo,0.833
Ijui,RS,Comentario,2022-09-08 19:51:50,dr.andrey_criminalista,🙌 🙌 🙌 👏 👏 👏,🙌👏,,"['U0001f64c', 'U0001f64c', 'U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f44f']",,1.2,Positivo,0.0
Ijui,RS,Comentario,2022-09-07 03:06:28,adrianodemoura1453,Parabéns.agora fazer um trabalho de tratamento no esgoto para nao poluição dos arroio.,,Parabéns.agora fazer um trabalho de tratamento no esgoto para nao poluição dos arroio.,[],Congratulations. Now do a treatment work in the sewage for non -pollution of the stream.,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-09-07 01:06:06,marcia.dasilva.9279807,Muita saudade dos desfiles na praça tras muitas boas lembranças principalmente do meu saudoso irmão que desfilou por escolas e pelo quartel 😢 😢,😢,Muita saudade dos desfiles na praça tras muitas boas lembranças principalmente do meu saudoso irmão que desfilou por escolas e pelo quartel,"['U0001f622', 'U0001f622']",Much the parades in the square brings many good memories especially of my late brother who paraded for schools and the barracks,-0.0,Neutro,0.575
Ijui,RS,Comentario,2022-09-07 02:40:09,cabo_da_boa_esperanca_2022,"Só as crianças mesmo. Pois quem é experiente, já não compra de novo.",,"Só as crianças mesmo. Pois quem é experiente, já não compra de novo.",[],"Only the children. Because who is experienced, no longer buy again.",0.4,Positivo,0.95
Ijui,RS,Comentario,2022-09-05 20:54:12,marcoaureliosikacz,👏 👏 👏,👏,,"['U0001f44f', 'U0001f44f', 'U0001f44f']",,0.6,Positivo,0.0
Ijui,RS,Comentario,2022-09-07 03:08:12,adrianodemoura1453,Qual seria o tempo máximo permitido?,,Qual seria o tempo máximo permitido?,[],What would be the maximum time allowed?,0.0,Neutro,0.0
Ijui,RS,Comentario,2022-09-01 13:27:33,schirleikristoschek,Que lindo tudo isso ❤ ️,❤,Que lindo tudo isso ️,['u2764'],How beautiful all this ️,1.05,Positivo,1.0
