emoji,position,negativo,neutro,positivo,score,unicode_name,unicode_block,unicode
┊,0.682,0.014,0.014,0.972,0.958,BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL,Box Drawing,b'\\u250a'
🎎,0.417,0.019,0.056,0.926,0.907,JAPANESE DOLLS,Miscellaneous Symbols and Pictographs,b'\\U0001f38e'
▃,0.373,0.032,0.032,0.935,0.903,LOWER THREE EIGHTHS BLOCK,Block Elements,b'\\u2583'
♨,0.665,0.032,0.065,0.903,0.871,HOT SPRINGS,Miscellaneous Symbols,b'\\u2668'
🔅,0.635,0.056,0.056,0.889,0.833,LOW BRIGHTNESS SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f505'
🏧,0.888,0.067,0.067,0.867,0.800,AUTOMATED TELLER MACHINE,Miscellaneous Symbols and Pictographs,b'\\U0001f3e7'
✰,0.195,0.034,0.138,0.828,0.793,SHADOWED WHITE STAR,Dingbats,b'\\u2730'
🌼,0.604,0.026,0.169,0.805,0.779,BLOSSOM,Miscellaneous Symbols and Pictographs,b'\\U0001f33c'
😙,0.876,0.021,0.180,0.799,0.778,KISSING FACE WITH SMILING EYES,Emoticons,b'\\U0001f619'
🔔,0.713,0.077,0.077,0.846,0.769,BELL,Miscellaneous Symbols and Pictographs,b'\\U0001f514'
🎁,0.709,0.041,0.158,0.801,0.759,WRAPPED PRESENT,Miscellaneous Symbols and Pictographs,b'\\U0001f381'
◤,0.669,0.083,0.083,0.833,0.750,BLACK UPPER LEFT TRIANGLE,Geometric Shapes,b'\\u25e4'
🆔,0.479,0.063,0.125,0.813,0.750,SQUARED ID,Enclosed Alphanumeric Supplement,b'\\U0001f194'
❤,0.747,0.044,0.166,0.790,0.746,HEAVY BLACK HEART,Dingbats,b'\\u2764'
💞,0.829,0.041,0.180,0.780,0.739,REVOLVING HEARTS,Miscellaneous Symbols and Pictographs,b'\\U0001f49e'
🎉,0.744,0.039,0.184,0.777,0.738,PARTY POPPER,Miscellaneous Symbols and Pictographs,b'\\U0001f389'
💐,0.728,0.041,0.184,0.776,0.735,BOUQUET,Miscellaneous Symbols and Pictographs,b'\\U0001f490'
💃,0.853,0.045,0.177,0.779,0.734,DANCER,Miscellaneous Symbols and Pictographs,b'\\U0001f483'
💙,0.703,0.033,0.204,0.763,0.730,BLUE HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f499'
🏆,0.706,0.036,0.203,0.761,0.726,TROPHY,Miscellaneous Symbols and Pictographs,b'\\U0001f3c6'
🎊,0.724,0.057,0.164,0.779,0.721,CONFETTI BALL,Miscellaneous Symbols and Pictographs,b'\\U0001f38a'
🎈,0.719,0.018,0.246,0.736,0.718,BALLOON,Miscellaneous Symbols and Pictographs,b'\\U0001f388'
💖,0.762,0.043,0.201,0.755,0.712,SPARKLING HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f496'
😚,0.853,0.049,0.192,0.759,0.710,KISSING FACE WITH CLOSED EYES,Emoticons,b'\\U0001f61a'
🎆,0.799,0.055,0.182,0.764,0.709,FIREWORKS,Miscellaneous Symbols and Pictographs,b'\\U0001f386'
💛,0.752,0.043,0.205,0.752,0.709,YELLOW HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f49b'
😘,0.854,0.053,0.193,0.754,0.701,FACE THROWING A KISS,Emoticons,b'\\U0001f618'
🚜,0.767,0.100,0.100,0.800,0.700,TRACTOR,Transport and Map Symbols,b'\\U0001f69c'
👑,0.699,0.043,0.219,0.738,0.694,CROWN,Miscellaneous Symbols and Pictographs,b'\\U0001f451'
💋,0.801,0.039,0.231,0.730,0.691,KISS MARK,Miscellaneous Symbols and Pictographs,b'\\U0001f48b'
🚹,0.812,0.069,0.172,0.759,0.690,MENS SYMBOL,Transport and Map Symbols,b'\\U0001f6b9'
🐟,0.677,0.049,0.213,0.738,0.689,FISH,Miscellaneous Symbols and Pictographs,b'\\U0001f41f'
🐭,0.823,0.021,0.271,0.708,0.688,MOUSE FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f42d'
💘,0.785,0.048,0.221,0.731,0.683,HEART WITH ARROW,Miscellaneous Symbols and Pictographs,b'\\U0001f498'
💟,0.788,0.061,0.197,0.742,0.682,HEART DECORATION,Miscellaneous Symbols and Pictographs,b'\\U0001f49f'
🎇,0.821,0.080,0.160,0.760,0.680,FIREWORK SPARKLER,Miscellaneous Symbols and Pictographs,b'\\U0001f387'
😍,0.765,0.052,0.219,0.729,0.678,SMILING FACE WITH HEART-SHAPED EYES,Emoticons,b'\\U0001f60d'
🍓,0.689,0.041,0.247,0.711,0.670,STRAWBERRY,Miscellaneous Symbols and Pictographs,b'\\U0001f353'
♡,0.764,0.052,0.227,0.721,0.669,WHITE HEART SUIT,Miscellaneous Symbols,b'\\u2661'
🇷,0.716,0.044,0.244,0.711,0.667,REGIONAL INDICATOR SYMBOL LETTER R,Enclosed Alphanumeric Supplement,b'\\U0001f1f7'
