Municipio,UF,Post/Coment,Data,Usuario,Comentarios,ComentarioTraduzido,Subjetividade,Polaridade,Analise
Ijui,RS,Comentario,2022-09-12 12:13:00,anaceratti,. Parabéns,. Congratulations,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-09 21:24:17,lorenicarneiro,Parabéns,Congratulations,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-10 00:26:27,rafaelcorrea.s8,Obras em todo lugar top .aí sim,Works everywhere top.,0.5,0.5,Positivo
Ijui,RS,Comentario,2022-09-08 13:44:31,nanda_arend94,A enfermagem tbm participou se pra vcs não samos importante para Ijuí nós samos ….,Nursing also participated if for you we are not important to Ijuí we are….,1.0,-0.2,Negativo
Ijui,RS,Comentario,2022-09-08 14:47:20,prefeituradeijui,Parabéns! Bem organizados.,Congratulations! Well organized.,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-07 14:07:34,bila.dutra16,Estava lindo.,It was beautiful.,1.0,0.85,Positivo
Ijui,RS,Comentario,2022-09-07 15:36:08,douglasdiverio,Super top,Super top,0.583,0.417,Positivo
Ijui,RS,Comentario,2022-09-07 17:13:41,jordadine,Parabéns a todos estava lindo e super organizado,Congratulations to all was beautiful and super organized,0.833,0.592,Positivo
Ijui,RS,Comentario,2022-09-07 03:06:28,adrianodemoura1453,Parabéns.agora fazer um trabalho de tratamento no esgoto para nao poluição dos arroio.,Congratulations. Now do a treatment work in the sewage for non -pollution of the stream.,0.0,0.0,Neutro
Ijui,RS,Comentario,2022-09-07 01:06:06,marcia.dasilva.9279807,Muita saudade dos desfiles na praça tras muitas boas lembranças principalmente do meu saudoso irmão que desfilou por escolas e pelo quartel,Much the parades in the square brings many good memories especially of my late brother who paraded for schools and the barracks,0.575,0.2,Positivo
Ijui,RS,Comentario,2022-09-07 02:40:09,cabo_da_boa_esperanca_2022,"Só as crianças mesmo. Pois quem é experiente, já não compra de novo.","Only the children. Because who is experienced, no longer buy again.",0.95,0.4,Positivo
