Municipio,UF,Post/Coment,Data,Usuario,Comentarios,Polaridade,Emoji,Analise
Ijui,RS,Comentario,2022-09-15 14:03:15,alee_mews,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
Ijui,RS,Comentario,2022-09-13 15:36:41,ane_doces_e_salgados,['u2764'],0.2,❤,Positivo
Ijui,RS,Comentario,2022-09-12 16:42:54,bila.dutra16,"['u2764', 'U0001f44f']",0.4,❤👏,Positivo
Ijui,RS,Comentario,2022-09-12 12:08:53,dr.andrey_criminalista,['U0001f44f'],0.2,👏,Positivo
Ijui,RS,Comentario,2022-09-12 12:13:00,anaceratti,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-09-09 19:53:11,marcoaureliosikacz,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Ijui,RS,Comentario,2022-09-09 21:24:17,lorenicarneiro,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-09-09 22:19:09,nildafidencio,"['U0001f44f', 'U0001f44f', 'U0001f64c', 'U0001f60d']",0.8,👏🙌😍,Positivo
Ijui,RS,Comentario,2022-09-10 00:26:27,rafaelcorrea.s8,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-09-12 03:44:24,dr.andrey_criminalista,['U0001f44f'],0.2,👏,Positivo
Ijui,RS,Comentario,2022-09-08 14:47:20,prefeituradeijui,"['U0001f44d', 'U0001f3fb']",0.2,👍,Positivo
Ijui,RS,Comentario,2022-09-08 19:52:11,dr.andrey_criminalista,"['U0001f64c', 'U0001f64c', 'U0001f525', 'U0001f525', 'U0001f44f', 'U0001f44f']",0.6000000000000001,🙌🔥👏,Positivo
Ijui,RS,Comentario,2022-09-07 14:07:34,bila.dutra16,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-09-07 17:13:41,jordadine,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.0,👏,Positivo
Ijui,RS,Comentario,2022-09-08 19:51:50,dr.andrey_criminalista,"['U0001f64c', 'U0001f64c', 'U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.2,🙌👏,Positivo
Ijui,RS,Comentario,2022-09-07 01:06:06,marcia.dasilva.9279807,"['U0001f622', 'U0001f622']",-0.2,😢,Negativo
Ijui,RS,Comentario,2022-09-05 20:54:12,marcoaureliosikacz,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-09-01 13:27:33,schirleikristoschek,['u2764'],0.2,❤,Positivo
Ijui,RS,Comentario,2022-09-01 01:35:19,tfalmeida22,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",1.4,👏,Positivo
Ijui,RS,Comentario,2022-09-01 11:30:52,wendtalexandre,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-30 14:53:13,leoclaudyy,"['U0001f64c', 'U0001f64c', 'U0001f44f', 'U0001f44f', 'U0001f64c']",1.0,🙌👏,Positivo
Ijui,RS,Comentario,2022-08-29 15:39:46,adrianodemoura1453,"['U0001f64c', 'U0001f622']",0.1,🙌😢,Positivo
Ijui,RS,Comentario,2022-08-30 00:43:41,fer.cosplay,['U0001f60d'],0.2,😍,Positivo
Ijui,RS,Comentario,2022-08-31 22:46:20,rrosemacedo,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-28 23:54:39,patriciafuculo,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f', 'u2764']",1.0,👏❤,Positivo
Ijui,RS,Comentario,2022-08-29 01:16:41,jakeotavio2014,"['U0001f44f', 'U0001f44f', 'U0001f44f']",0.6000000000000001,👏,Positivo
Ijui,RS,Comentario,2022-08-29 14:45:18,edvanda_camargo,"['u2764', 'u2764']",0.4,❤,Positivo
Ijui,RS,Comentario,2022-08-29 01:44:48,rogereade,"['U0001f44f', 'U0001f44f', 'U0001f44f', 'U0001f44f']",0.8,👏,Positivo
Ijui,RS,Comentario,2022-08-29 12:54:29,eloaportolan,"['U0001f60d', 'U0001f60d', 'U0001f60d']",0.6000000000000001,😍,Positivo
Ijui,RS,Comentario,2022-08-29 00:04:56,tere_escaio,"['U0001f44f', 'U0001f44f']",0.4,👏,Positivo
