Municipio,UF,Post/Coment,Data,Usuario,Legenda,Likes
Ijui,RS,Post,2022-09-16 12:02:41,prefeituradeijui,"Ponto Facultativo! Segunda-feira, 19, órgãos públicos municipais terão ponto facultativo Na próxima segunda-feira, 19, será de ponto facultativo nos órgãos públicos municipais. Não haverá atendimento na Prefeitura, Secretarias e Postos de Saúde. O atendimento será retomado normalmente na quarta-feira, 21, após o Feriado Farroupilha. A UPA e o CT terão atendimento normal.",22.0
Ijui,RS,Post,2022-09-16 12:01:01,prefeituradeijui,"Evento Regional Feira da Primavera acontece neste final de semana Acontece neste final de semana a Feira Regional da Primavera, na Praça da República, no centro de Ijuí. O evento inicia às 9h de sábado e se estende até às 19h de domingo. Estão confirmados cerca de 100 feirantes de diversas cidades da região que irão participar do evento. A Feita da Primavera é realizada em parceria da ABRIQ - Associação dos Artesãos do Brique da Praça e SMECT.",69.0
Ijui,RS,Post,2022-09-16 11:59:20,prefeituradeijui,"Oportunidade de qualificação profissional! Curso de Mecânica de Refrigeração Doméstica inicia na próxima semana Na próxima semana inicia o primeiro curso em parceria do Qualifica+Ijuí em parceria com o SENAI. No dia 21 inicia o curso de Mecânica de Refrigeração doméstica, com duração de 40 horas, com aulas de terça, quarta e quinta feiras, das 13h30 às 17h30, com duração total de 40h. Para se inscrever os interessados devem procurar o setor de Desenvolvimento Econômico, junto ao Sine. Para mais informações os interessados podem ligar para o telefone 3332 7555.",4.0
Ijui,RS,Post,2022-09-16 11:58:21,prefeituradeijui,"Drenagem no Osvaldo Aranha! Serviço de calçamento será iniciado após finalização da etapa de drenagem. A Secretaria de Obras, através da equipe de saneamento finalizou o serviço de drenagem no bairro Osvaldo Aranha. A partir de agora será iniciada a recomposição de calçamento e entregue a via pronta para a comunidade. “Estamos com várias frentes de serviço, a população já começa a notar a diferença. ""Temos consciência dos transtornos principalmente no transito em decorrência das obras”, comentou Fábio Franzen, secretário da SMODUTRAN.",8.0
Ijui,RS,Post,2022-09-16 11:56:54,prefeituradeijui,"Tecnologia para a saúde! UBS e agentes comunitários recebem aparelhos celulares Em evento realizado na tarde de quinta-feira, 15, foram entregues aparelhos celulares para as Unidades Básicas de Saúde e agentes comunitários de Ijuí. A cerimônia ocorreu no Salão Farroupilha com a presença do prefeito Andrei Cossetin e o secretário de Saúde Márcio Strassburger, que realizaram a entrega dos aparelhos. “É um investimento que fizemos na saúde pública, um instrumento de trabalho que vai melhorar e agilizar o atendimento para a população”, explicou o prefeito.",123.0
Ijui,RS,Post,2022-09-16 11:53:23,prefeituradeijui,"Farmácia vai à escola! Estudantes recebem orientações sobre uso racional e descarte correto de medicamentos O Programa Farmácia Vai à Escola desenvolvido pela assistência farmacêutica do município com apoio da SMS e SMEd aborda o uso racional e descarte correto de medicamentos, assim como o acesso ao serviço da assistência farmacêutica. O projeto piloto foi desenvolvido com estudantes das escolas Amazonas e Eugênio Storch, do 8º e 5º ano, respectivamente. Já foi realizado também a capacitação para os professores das escolas e, agora, a ação com as crianças. Ainda será desenvolvido o projeto com toda comunidade escolar e a previsão é de estender para as demais escolas do município",19.0
Ijui,RS,Post,2022-09-15 13:49:58,prefeituradeijui,"Mutirão de limpeza! Prefeito Andrei Cossetin acompanha trabalhos realizados no bairro Getúlio Vargas O prefeito Andrei Cossetin esteve no bairro Getúlio Vargas na manhã desta quinta-feira, 15, acompanhando o Mutirão de Limpeza que está sendo realizado no bairro. O secretário da Smodutran Fábio Franzen coordenou os trabalhos realizados no local, onde diversas ruas, locais de passeio público e terrenos receberam a limpeza e, na sequência, ruas do bairro também receberão asfaltamento. Na oportunidade, o prefeito também conversou com os moradores do bairro. “Estamos realizando um belo trabalho aqui, vamos dar outra cara para o bairro com a limpeza e asfaltamento das vias, melhorando a qualidade de vida da população e também valorizando esta área da cidade”, explicou Cossetin.",112.0
Ijui,RS,Post,2022-09-15 13:12:43,prefeituradeijui,"Bola na rede! Domingo tem rodada do Campeonato Amador Neste domingo, 18, ocorre mais uma rodada do Campeonato Amador de Futebol de Ijuí. Os confrontos ocorrem a partir das 9h no campo do Rincão dos Gói e a partir das 13h30 no campo da Imasa. No Rincão dos Gói se enfrentam às 9h, River e Vasco e a partir das 13h30, Juventude de Rincão dos Gói contra Santa Cruz e na sequência Botafogo e Amigos do Bairro São Paulo. Já no Campo da Imasa a partir das 13h30 jogam Flamengo da Linha 4 contra o Guarani e Resenha enfrenta o Amigos da Vila Nova.",4.0
Ijui,RS,Post,2022-09-15 12:35:08,prefeituradeijui,"Letramento digital! SMEd avança no uso de recursos tecnológicos No ano de 2021 e no transcorrer de 2022 a Secretaria Municipal de Educação proporcionou um grande avanço com recursos tecnológicos para complementar as técnicas e as metodologias dos professores da Rede Municipal de Ensino. O Letramento Digital está disponível no site da Secretaria Municipal de Educação, e no primeiro semestre de 2022 foi estabelecida uma agenda de Assessorias Tecnológicas com as escolas. A demanda e a procura das escolas pela Assessoria Tecnológica foi grande, a SMEd fará a formação trilhas pedagógicas para formação continuada em tecnologias de diferentes ferramentas tecnológicas aos professores no formato de webinar, que será transmitido pelo canal da SMEd no Youtube para que os mesmos possam acompanhar e assistir novamente quantas vezes for necessário, com chat ao vivo para responder às dúvidas dos professores. Para saber mais acesse:",12.0
Ijui,RS,Post,2022-09-15 12:31:40,prefeituradeijui,"Estradas recuperadas! Linhas 7 e 8 norte recebem melhorias nas estradas A Secretaria de Desenvolvimento Rural está atuando nas estradas das Linhas 7 e 8 Norte. No local está sendo realizado trabalhos de patrolamento, cascalhamento e alargamento das vias, possibilitando aos agricultores melhorias no deslocamento entre as localidades e também facilidade de trânsito de veículos pesados. “Estamos com várias frentes de trabalho com as máquinas atendendo as demandas do interior, aproveitamos os dias de tempo bom para resolvermos os problemas de diversos pontos no interior”, explicou o secretário da pasta, Daniel Claudy.",22.0
Ijui,RS,Post,2022-09-14 12:51:35,prefeituradeijui,"Troca de Uniformes! Uniformes poderão ser trocados no prédio da SMEd. A Secretaria Municipal de Educação irá atender a troca de uniformes no prédio da secretaria a partir de segunda-feira (19). O atendimento estava sendo realizado no Quiosque da praça da República. “Não há mais essa necessidade, pois o fluxo diminuiu bastante, conseguimos atender direto na secretaria a partir de agora”, informou Luciana Deutchmann, adjunta da pasta.",35.0
